Sub Job,Cost Code Tier 1,Cost Code Tier 2,Cost Type,Budget Code,Budget Code Description,Vendor,Item,Description,Detail Type,Original Budget Amount,Budget Modifications,Approved COs,Pending COs,Committed Costs,Direct Cost Details,Pending Cost Changes,Forecast To Complete,Job to Date Costs Detail,AP Commitment Costs Detail
None,None,None,None,"","","Goodwill Industries of Central Indiana, Llc",#007: CE #019 - Permit Fees,Expedited state permit submission.,Prime Potential Change Order,,,"$3,500.00",,,,,,,
None,None,None,None,"","",None,,,Automatic Forecast,,,,,,,,"$3,500.00",,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Original Budget,,Original Budget Amount,$.00,,,,,,,,,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,To 01-3120 - Labor,"",Budget Modification,,$128.02,,,,,,,,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,From 01-3120 - Labor,"",Budget Modification,,$-728.73,,,,,,,,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,"Goodwill Industries of Central Indiana, Llc",#002: CE #008 - Phase 1 & 2 Changes,Added Time Phase 1 & 2,Prime Potential Change Order,,,"$18,053.80",,,,,,,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 03/28/2025 Adj,Pay Date 03/28/2025 | Pay Period for : B 03/09/2025 to 03/22/2025Jesse Dawson (Others-Insurance),Direct Cost,,,,,,$44.90,,,$44.90,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 05/09/2025 | Pay Period for : B 04/20/2025 to 05/03/2025,Pay Date 05/09/2025 | Pay Period for : B 04/20/2025 to 05/03/2025 Jesse Dawson (cellphone reimb),Direct Cost,,,,,,$8.75,,,$8.75,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 04/11/2025 | Pay Period for : B 03/23/2025 to 04/05/2025,Pay Date 04/11/2025 | Pay Period for : B 03/23/2025 to 04/05/2025Jesse Dawson (Cellphone reimb),Direct Cost,,,,,,$15.75,,,$15.75,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 03/14/2025 | Pay Period for : B 02/23/2025 to 03/08/2025,Pay Date 03/14/2025 | Pay Period for : B 02/23/2025 to 03/08/2025 Jesse Dawson (cellphone reimb),Direct Cost,,,,,,$12.25,,,$12.25,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 02/14/2025 | Pay Period for : B 01/26/2025 to 02/08/2025,Pay Date 02/14/2025 | Pay Period for : B 01/26/2025 to 02/08/2025 - Jesse Dawson (cellphone reimb),Direct Cost,,,,,,$13.12,,,$13.12,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025,Pay Date 01/17/2025 | Pay Period for : B 12/29/2024 to 01/11/2025 - Jesse Dawson (cellphone reimbursment),Direct Cost,,,,,,$33.25,,,$33.25,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 05/09/2025 | Pay Period for : B 04/20/2025 to 05/03/2025,Pay Date 05/09/2025 | Pay Period for : B 04/20/2025 to 05/03/2025 Jesse Dawson (Others),Direct Cost,,,,,,$49.81,,,$49.81,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 05/09/2025 | Pay Period for : B 04/20/2025 to 05/03/2025,Pay Date 05/09/2025 | Pay Period for : B 04/20/2025 to 05/03/2025 Jesse Dawson (Insurance),Direct Cost,,,,,,$57.53,,,$57.53,
None,01 - Requirements,01-3120 - Vice President,L - Labor,01-3120.L,Vice President.Labor,None,Expense: Pay Date 05/09/2025 | Pay Period for : B 04/20/2025 to 05/03/2025,Pay Date 05/09/2025 | Pay Period for : B 04/20/2025 to 05/03/2025 Jesse Dawson (Payroll Fee),Direct Cost,,,,,,$5.29,,,$5.29,
